,Word,Phrase
0,Reminder for daily reporting and attendance on mob app daily 9 00 am, reporting and attendance on mob app
1,How will you remind me let me know,Not Found
2,Can u remind me till 11,Not Found
3,Call at 9 am every day, call
4,Remind me to bid for flights on 13th december at 6 pm, bid for flights
5,Reminder 11am tomorrorw buy bell for papu, buy bell papu
6,Remind me to book b tickets tonight by 10 pm, book b tickets
7,Can you remind me to masturbate, masturbate 1
8,Reminder on invoice preparation, preparation
9,1 alarm at 1 30am please  Ignore the 12 20am one,Not Found
10,One more reminder 2 00 pm  today for meeting, meeting
11,call sagar  5 30 pm, call
12,I m upset vth d reminder service, service
13,Remind me to see  Concert at 7pm, see concert
14,Remind me again after half an hour,Not Found
15,Need a reminder for payment and phone at 2pm, payment and phone
16,Remind me tomorrow 11 am to pack gift for my college sir , pack gift for my college sir
17,Remind me on 1st dec to take appointment of those 2 customer at sanaswadi, take appointment of those 1 customer
18,Remind me to play football at 10 5, play football
19,Weke up alarm I need morning,Not Found
20,Would you remind me to print the log sheet out today, print the log sheet out
21,Cud u pls set up a recuring reminder,Not Found
22,Hey thanks for ur reminder,Not Found
23,Please remind me every Tuesday n Thursday for a meeting at Chopras  at 11 am, a meeting
24,Yes  I ll surely use it  When I need u to remind me something  Thank you,Not Found
25,Make it a everyday schedule,Not Found
26,What an early reminder ,Not Found
27,Remind me to pray daily at noon, pray daily
28,Okk,Not Found
29,Remind me of talking with RICS TODAY AT 11 AM  , talking with RICS
30,Please set this for complete month,Not Found
31,1 jan 11 55,Not Found
32,Remind me to take my friend s car for wash on 12th before she comes back,Not Found
33,Remind me next month 16th for hepatitis B vaccination at 10am, hepatitis b vaccination
34,hieee,Not Found
35,Remind me to attend reception of Kishor Bhai s Son on 28th November, attend
36,Manali sir reminder aata nhi hai, aata nhi hai
37,Cancl,Not Found
38,Thank you Sachin for your reminder ,Not Found
39,Reminder me to take print out, take print out
40,I have to add reminder,Not Found
41,Remind me to renew my insurance of car on 20 11 2017, renew my insurance of car
42,Can the reminder be for 365 days ,Not Found
43,Call means what , call means what
44,Hey good morning,Not Found
45,Plz remind me to go to the gym at 9am, go to the gym
46,Instead of 5 remind me at 5 30,Not Found
47,OK Tomo I want a reminder to b set,Not Found
48,I want to be set, set
49,Plz remind ne,Not Found
50,Hey thanks  Reminder for what exactly , what exactly
51,Hie can u remind me to finish Eis audit by 10 January, finish Eis audit
52,Remaind for dinner at 7 08 on today, dinner
53,It s ok  I ll let you know if I need any help, any help
54,Remind me from daily from today,Not Found
55,Please remind me to take a test at 4 30 pm tomorrow , take a test
56,Then remind me for studying at 3 30 pm, studying
57,Remind me to do my studies, do my studies
58,What is the reminder ,Not Found
59,Tell me something about haptik, haptik
60,Remind me at 830 today   to carry S C O solution home, c o solution
61,Basket saaf krni h remind me on 8 PM tomorrow,Not Found
62,what is the exam timing of bharatiya vidya bhavans clg churchgate for fyba today, exam bharatiya vidya bhavans clg churchgate
63,Reminder me at 9 00 am,Not Found
64,I want to meet my boss at around 3pm  So remind me about it at around 12, meet my boss
65,Can you call me   8106683849,Not Found
66,Thx for reminder,Not Found
67,Please remind me after 2  00 pm for today,Not Found
68,Remind me to watch star gold  9 pm, watch star gold
69,Need reminder,Not Found
70,I need to change that reminder,Not Found
71,Close all the remainder,Not Found
